	word	A	E	C	N	O	nnon
268	Jealous	-0.09	-0.07	-0.06	0.47	-0.1	
269	Envious	-0.04	-0.12	-0.1	0.47	-0.08	
270	Possessive	-0.07	-0.01	0.11	0.46	-0.07	
271	Fretful	0.07	-0.24	-0.07	0.45	-0.05	
272	Impatient	-0.23	0.0	-0.02	0.44	0.01	
273	Self-pitying	-0.03	-0.36	-0.08	0.43	-0.03	
274	Nervous	0.08	-0.23	-0.05	0.42	-0.05	
275	Crabby	-0.24	-0.15	-0.01	0.42	-0.07	
276	Defensive	-0.17	-0.17	-0.04	0.41	-0.05	
277	Grumpy	-0.27	-0.19	-0.03	0.4	-0.07	
278	High-strung	-0.03	0.1	-0.08	0.4	0.03	
279	Insecure	0.06	-0.36	-0.29	0.39	0.02	
280	Cranky	-0.3	-0.08	-0.05	0.39	-0.11	
281	Fearful	0.18	-0.24	-0.06	0.38	-0.12	
282	Faultfinding	-0.31	-0.1	0.05	0.38	-0.02	
283	Quarrelsome	-0.36	0.11	-0.01	0.38	-0.05	
284	Anxious	0.05	-0.02	0.0	0.38	-0.13	
285	Finicky	-0.06	-0.06	0.07	0.35	-0.02	
286	Snobbish	-0.25	0.0	-0.05	0.33	0.08	
287	Bossy	-0.31	0.3	0.04	0.32	-0.02	
288	Gossipy	0.08	0.13	-0.19	0.32	-0.15	
289	Nosey	-0.04	0.16	-0.15	0.32	-0.14	
290	Selfish	-0.24	-0.16	-0.14	0.31	0.21	
291	Excitable	0.22	0.3	-0.07	0.31	-0.1	
292	Restless	-0.1	0.05	-0.2	0.3	0.07	
293	Compulsive	-0.02	0.12	-0.26	0.26	0.02	
294	Hypocritical	-0.16	-0.09	-0.18	0.26	-0.14	
295	Obsessive	-0.18	-0.05	-0.12	0.25	-0.04	
296	Meddlesome	-0.05	0.16	-0.08	0.25	-0.16	
297	Extravagant	0.01	0.21	-0.13	0.24	0.0	
298	Volatile	-0.05	0.11	-0.08	0.22	-0.03	
299	Self-indulgent	-0.09	0.08	-0.15	0.22	0.13	
300	Superstitious	0.05	0.05	-0.08	0.1	-0.09	
301	Relaxed	0.21	0.17	0.04	-0.48	-0.02	
302	Unemotional	-0.3	-0.26	0.08	-0.47	0.05	
303	Patient	0.43	-0.13	0.11	-0.44	0.07	
304	Masculine	-0.34	0.01	0.05	-0.43	0.1	
305	Undemanding	0.3	-0.23	-0.13	-0.42	0.0	
306	Easy-going	0.3	0.22	-0.15	-0.41	-0.06	
307	Unexd table	-0.19	-0.34	0.04	-0.41	0.13	
308	Courageous	-0.08	0.33	0.1	-0.35	0.07	
309	Brave	-0.09	0.3	0.13	-0.35	0.07	
310	Informal	0.07	0.01	-0.26	-0.33	0.23	
311	Down-to-earth	0.24	-0.01	0.14	-0.28	0.09	
312	Passionless	-0.19	-0.21	0.03	-0.28	0.03	
313	Earthy	0.22	-0.03	-0.01	-0.26	0.18	
314	Nonchalant	-0.01	0.04	-0.09	-0.26	0.03	
315	Unassuming	0.16	-0.18	-0.14	-0.26	0.16	
316	Casual	0.12	0.08	-0.16	-0.25	0.0	
317	Weariless	-0.01	0.18	0.08	-0.23	0.06	
318	Intelligent	0.03	0.03	0.16	-0.13	0.55	
319	Intellectual	-0.02	0.04	0.21	-0.08	0.5	
320	Smart	0.03	0.02	0.18	-0.17	0.49	
321	Complex	0.0	-0.1	-0.04	0.14	0.48	
322	Philosophical	0.03	-0.03	0.01	-0.04	0.47	
323	Innovative	0.04	0.13	0.09	-0.16	0.44	
324	Bright	0.09	0.12	0.12	-0.12	0.44	
